id,movie_key,name,source,file_name,script_url,tmdb_title,release_date,tmdb_id,overview,imdb_title,imdb_release_date,imdb_id,dialogue,charinfo,tagged
1,10thingsihateaboutyou,10 Things I Hate About You,imsdb,10-Things-I-Hate-About-You,https://imsdb.com/scripts/10-Things-I-Hate-About-You.html,10 Things I Hate About You,1999-03-30,4951,"On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.",10 Things I Hate About You,1999,0147800,10-Things-I-Hate-About-You_dialogue.txt,10-Things-I-Hate-About-You_charinfo.txt,10-Things-I-Hate-About-You_parsed.txt
2,12holding,12 and Holding,imsdb,12-and-Holding,https://imsdb.com/scripts/12-and-Holding.html,12 and Holding,2006-03-31,18164,"Three pre-adolescents with virginal and eager-of-signals naivety, hit headlong against monstrous and inhospitable loneliness, in the incandescent fire among the ashes of their own inocence.",12 and Holding,2005,0417385,12-and-Holding_dialogue.txt,12-and-Holding_charinfo.txt,12-and-Holding_parsed.txt
3,12monkeys,12 Monkeys,imsdb,12-Monkeys,https://imsdb.com/scripts/12-Monkeys.html,Twelve Monkeys,1995-12-29,63,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",12 Monkeys,1995,0114746,12-Monkeys_dialogue.txt,12-Monkeys_charinfo.txt,12-Monkeys_parsed.txt
4,12yearsslave,12 Years a Slave,imsdb,12-Years-a-Slave,https://imsdb.com/scripts/12-Years-a-Slave.html,12 Years a Slave,2013-10-18,76203,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon's chance meeting with a Canadian abolitionist will forever alter his life.",12 Years a Slave,2013,2024544,12-Years-a-Slave_dialogue.txt,12-Years-a-Slave_charinfo.txt,12-Years-a-Slave_parsed.txt
5,127hours,127 Hours,imsdb,127-Hours,https://imsdb.com/scripts/127-Hours.html,127 Hours,2010-11-12,44115,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,127 Hours,2010,1542344,127-Hours_dialogue.txt,127-Hours_charinfo.txt,127-Hours_parsed.txt
6,1492conquestofparadise,1492: Conquest of Paradise,imsdb,1492-Conquest-of-Paradise,https://imsdb.com/scripts/1492-Conquest-of-Paradise.html,1492: Conquest of Paradise,1992-10-09,1492,1492: Conquest of Paradise depicts Christopher Columbus' discovery of The New World and his effect on the indigenous people.,1492: Conquest of Paradise,1992,0103594,1492-Conquest-of-Paradise_dialogue.txt,1492-Conquest-of-Paradise_charinfo.txt,1492-Conquest-of-Paradise_parsed.txt
7,15minutes,15 Minutes,imsdb,15-Minutes,https://imsdb.com/scripts/15-Minutes.html,15 Minutes,2001-03-01,2749,"When Eastern European criminals Oleg and Emil come to New York City to pick up their share of a heist score, Oleg steals a video camera and starts filming their activities, both legal and illegal. When they learn how the American media circus can make a remorseless killer look like the victim and make them rich, they target media-savvy NYPD Homicide Detective Eddie Flemming and media-naive FDNY Fire Marshal Jordy Warsaw, the cops investigating their murder and torching of their former criminal partner, filming everything to sell to the local tabloid TV show ""Top Story.""",15 Minutes,2001,0179626,15-Minutes_dialogue.txt,15-Minutes_charinfo.txt,15-Minutes_parsed.txt
8,17again,17 Again,imsdb,17-Again,https://imsdb.com/scripts/17-Again.html,17 Again,2009-03-11,16996,"On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a ""do-over."" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all.",17 Again,2009,0974661,17-Again_dialogue.txt,17-Again_charinfo.txt,17-Again_parsed.txt
9,187,187,imsdb,187,https://imsdb.com/scripts/187.html,America on the Move 1876-2000,2003-11-29,788193,"Two complete documentaries exploring more than a century of invention innovation transportation and transformation.  Featuring interviews and fascinating archival footage, highlights many of the Smithsonian's priceless artifacts-from an actual piece of Route 66 that visitors can walk on to a full-sized steam locomotive and the interior of a Mississippi riverboat as well as a jaw-dropping showroom of authentic classic automobiles. Using advanced multimedia technology and innovative theatrical design AMERICA ON THE MOVE is an unforgettable experience that brings to life the pivotal role transportation has played in our nation's business social and cultural growth.  Interviews with former workers and family members point out Henry Ford's genius and eccentricities while historians trace the career of this industrial giant from his first hand-built car to the V-8 that saved his company from bankruptcy. Captures the essence of one man who more than any other changed the way we move.",Detroit 1-8-7,2010,1578258,187_dialogue.txt,187_charinfo.txt,187_parsed.txt
10,2001spaceodyssey,2001: A Space Odyssey,imsdb,2001-A-Space-Odyssey,https://imsdb.com/scripts/2001-A-Space-Odyssey.html,2001: A Space Odyssey,1968-04-02,62,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",2001: A Space Odyssey,1968,0062622,2001-A-Space-Odyssey_dialogue.txt,2001-A-Space-Odyssey_charinfo.txt,2001-A-Space-Odyssey_parsed.txt
